Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5A Final,WOD 5B Final,TOTAL
Alejo Orrego - Jacobo Gil,2,2,4,2,1,3,2,16
Mauro Castellanos - David Suarez,1,1,2,1,2,1,1,9
Santi Hoyos - David Guzman,3,3,3,3,3,2,3,20
Cristian Calde - Juanca Rojas,4,4,1,4,4,F,F,17
