Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5A Final,WOD 5B Final,TOTAL
Sebas Arce - David Castaneda,2,2,1,1,2,1,1,10
Andres Taborda - Duvan Blandon,1,1,3,2,1,2,2,12
Daniel Toro - Gio Vega,3,3,2,3,D,D,D,11
